artist,song,link,text
Xiu Xiu,Vulture Piano,/x/xiu+xiu/vulture+piano_20533344.html,"I'm ready to go,  
It's creeping along.  
A deep lack of guilt,  
And fool's sense of love.  
You can say it's nothing,  
You can claim there's no-one to hide.  
You could be respectable and keep it to yourself,  
Cause we know that she was the best that you've had.  
Yes I know, she was the best that you've had.  
Greased and unclean,  
A hiss laid by God.  
A duped bridle hole,  
And a boyhood slipping in Blood.  
You can say it's nothing,  
You can claim there's no-one to hide.  
You could be respectable and keep it to yourself at least,  
Cause we know that she was the best that you've had.  
Yes I know, she was the best that you've had.  
V you L T you are E - P I A N O!!  
You can say it's nothing,  
You can claim there's no-one to hide.  
You could be respectable and keep it to yourself at least,  
Cause we know that she was the best that you've had.  
Yes I know, she was the best that you've had.  
  

"
Cat Stevens,Novim's Nightmare,/c/cat+stevens/novims+nightmare_20028180.html,"Once I had a dream, that worried me  
Like a drunken guillotine  
Lingering just above my head  
Why, why, why, why?  
Why was I born ""The Nine""  
Cursed repeatedly  
Who would know if I should die.  
  
No one needed me  
Doo doo doo doo doo  
Dark and empty was the place to which I'd come  
Cold and silent was the house my name was on  
Nine rooms and a tomb in every one  
  
S'dark and empty was the place to which I'd come  
All at once my bones began to change  
I was tall and young again,  
Sweet as rain falling on the snow  
Who, who, who, who?  
Who is he, who am I, and  
What laid in between?  
  
How can I say goodbye? No one let me in  
Can't see no need for Nine no more  
Now it's too late to open the door.

"
Fatboy Slim,Good Morning Britain (Aztec Camera),/f/fatboy+slim/good+morning+britain+aztec+camera_20671043.html,"Jock's got a vote in Parochia  
Ten long years and he's still got her  
Paying tax and and doing stir  
Worry about it later.  
And the wind blows hot and the wind blows cold  
But it blows us good so we've been told  
Music's food 'til the art-biz folds  
Let them all eat culture.  
  
Chorus:  
The past is steeped in shame,  
But tomorrow's fair game,  
For a life that's fit for living  
Good morning Britain.  
  
Twenty years and a loaded gun  
Funerals, fear and the war ain't won  
Paddy's just a figure of fun  
It lightens up the danger.  
And a corporal sneers at a catholic boy  
And he eyes his gun like a rich man's toy  
He's killing more than celtic joy  
Death is not a stranger.  
  
Taffy's time's gonna come one day  
It's a loud sweet voice and it won't give way  
A house is not a holiday  
Your sons are leaving home Neil.  
In the hills and the valleys and far away  
You can hear the song of democracy  
The echo of eternity  
With a Rak-a-Rak-a feel.  
  
Chorus  
  
From the Tyne to where to the Thames does flow  
My English brothers and sisters know  
It's not a case of where you go  
It's race and creed and colour.  
From the police cell to the deep dark grave  
On the underground's just a stop away  
Don't be too black, don't be too gay  
Just get a little duller.  
  
But in this green and pleasant land,  
Where I make my home, I make my stand  
Make it cool just to be a man,  
A uniform's a traitor.  
Love is international  
And if you stand or if you fall,  
Just let them know you gave your all,  
Worry about it later.  
  
Chorus

"
Radiohead,Everything In Its Right Place,/r/radiohead/everything+in+its+right+place_20113265.html,"Everything  
Everything  
Everything  
Everything  
  
In its right place  
In its right place  
In its right place  
In its right place  
  
Yesterday I woke up sucking on a lemon  
Yesterday I woke up sucking on a lemon  
Yesterday I woke up sucking on a lemon  
Yesterday I woke up sucking on a lemon  
  
Everything  
Everything  
Everything  
  
In its right place  
In its right place  
In its right place  
Right place  
  
There are two colors in my head  
There are two colors in my head  
What is that you tried to say  
What is that you tried to say  
  
Tried to say  
Tried to say  
Tried to say  
Tried to say  
Tried to say  
  
Everything  
Everything  
Everything

"
Nazareth,Talkin' 'bout Love,/n/nazareth/talkin+bout+love_20098523.html,"You got lines guaranteed to please  
You got stories you got boyfriends to tease  
Money to burn  
You got everythin' you need  
Clever girl, never girl  
  
Talkin' 'bout love  
  
Rio de Janeiro on your daddy's card  
Party invitations you don't find it hard  
Lovers to burn  
Matches in your book  
Cruiser girl, user girl  
  
Talkin' 'bout love, talkin' 'bout love  
Talkin' 'bout you and me  
Talkin' 'bout love, talkin' 'bout love  
  
That's what you get  
When your heart's on fire for me  
That's what you get  
When your love's for hire  
  
Penthouse suite  
Dance and never stop  
What's the matter  
Don't 'cha want to be on top  
Nothin' to learn  
Everythin' to lose  
Lover girl, cover girl.

"
Freestyle,Pimpin,/f/freestyle/pimpin_20632440.html,"I was born broke  
I be dam if I will ie that way  
I love my momma  
Can't deny that phase  
Every night I pray for a rap record deal  
Man, even some times twise I say  
Lord save me take me away from hell  
14 to 9 and I've been sellin ''yay'' for years  
Y we had a house and couldn't keep it  
Y I got more pink slips than victoria secret  
Y I gotta rob  
Y my pappi aint got a job  
Y I aint gradguate  
Y throught school I aint have a date  
Y I hade to masterbate

"
Cliff Richard,Do You Wanna Dance?,/c/cliff+richard/do+you+wanna+dance_20032105.html,"Well, do you wanna dance and hold my hand  
Squeeze me, baby,  
I'm your man  
Oh baby, do you wanna dance  
Well, do you wanna dance under the moonlight  
Squeeze and hug me all through the night  
Oh baby, do you wanna dance  
Do you, do you, do you, do you wanna dance  
Do you, do you, do you, do you wanna dance  
Do you, do you, do you, do you wanna dance  
Do you, do you, do you, do you wanna dance  
Do you, do you, do you, do you wanna dance  
Do you, do you, do you, do you wanna dance  
Well, do you wanna dance to a rock and roll band  
Come on, baby, give me your hand  
Oh baby, do you wanna dance  
Well, do you wanna dance under the moonlight  
Squeeze and hug me all through the night  
Oh baby, do you wanna dance  
Do you, do you, do you, do you wanna dance  
Do you, do you, do you, do you wanna dance  
Do you, do you, do you, do you wanna dance  
Do you, do you, do you, do you wanna dance  
Do you, do you, do you, do you wanna dance  
Do you, do you, do you, do you wanna dance

"
Morrissey,"Little Man, What Now?",/m/morrissey/little+man+what+now+_20096128.html,"An afternoon nostalgia  
Television show  
You spoke in silhouette  
(But they couldn't name you)  
Although the panel were  
Very polite to you  
But I remembered you  
Friday nights 1969  
ATV - you murdered every line  
Too old to be a child star  
Too young to take leads  
Four seasons passed  
And they axed you  
Nervous juvenile  
(Won't smile! )  
What became of you?  
Did that swift eclipse torture you?  
A star at eighteen  
And then-suddenly gone  
Down to a few lines  
In the back page of a faded annual  
Oh but I remembered you  
I remembered you.

"
Xscape,Feels So Good,/x/xscape/feels+so+good_20147649.html,"Uh Uh Uh Uh  
  
Yeah  
Shit  
Yo  
This Xscape  
For the 9-5  
You know how they do  
So lay back kick it  
And let's get live  
  
Ladies, how often do you have  
A man that makes you wanna cry  
A man that makes you wanna laugh  
Sistas  
Well I think I've found the one  
That does everything I lke  
And knows how to get the job done  
He makes me  
  
Clap my hands  
Stomp my feet  
Every little thing that you do to me  
Feels so good  
Feels so good  
  
Clap my hands  
Stomp my feet  
Every little thing that you do to me  
Feels so good  
Feels so good  
  
Ladies  
Never have I felt this way before  
He makes me feel so good  
He keeps me wanting more  
He makes me feel  
So good So good  
From my head to my toes  
All the things that this man does  
Everyone should know  
And I  
  
Don't ever wanna lose this feeling  
His love is real  
I'm willing to stay right by his side  
Cause I know he'll always be mine  
The way he touch me  
Makes me lose my control  
And when you have a man like that  
Love dictates your soul  
He makes me Yeah  
  
Clap my hands  
Stomp my feet  
Every little thing that you do to me  
Feels so good  
Feels so good  
  
Clap my hands  
Stomp my feet  
Every little thing that you do to me  
Feels so good  
Feels so good  
  
This is for those that like to pop the trunk and let it bump  
Bump, Bump  
This is for those that like to pop the trunk and let it bump  
Bump, Bump  
This is for those that like to pop the trunk and let it bump  
Bump, Bump  
This is for those that like to pop the trunk and let it bump  
Bump, Bump  
  
Clap my hands  
Stomp my feet  
Every little thing that you do to me  
Feels so good  
Feels so good  
  
Clap my hands  
Stomp my feet  
Every little thing that you do to me  
Feels so good  
Feels so good  

"
Modern Talking,There's Too Much Blue In Missing You,/m/modern+talking/theres+too+much+blue+in+missing+you_20094720.html,"Like the leaves falling off a tree  
I feel your love is dying for me  
You tell me it's not the end  
Where is the love that you forsake  
You forsake, you forsake  
  
There's too much blue in missing you  
I believe I was a fool  
Before you say goodbey  
Oh, give us one more try  
Yet, I can't forget all the love we had  
There's too much blue in missing you  
Oh believe my heart is true  
Your love slipping away, a little bit every day  
Throw it away, it's such an easy way  
  
Look at me I'm the lucky one  
Without feelings you can't be strong  
Though I call you in the night  
To hear your voice, Feel you deep inside  
Deep Inside, Deep Inside

"
Violent Femmes,Look Like That,/v/violent+femmes/look+like+that_20144665.html,"I like his shoes I like his hat  
I'd like me better if I looked like that  
Uh -huh uh-huh  
I like her shoes I like her hat  
I'd like you better if you looked like that  
Uh-huh uh-huh  
But then my love starts burning  
For what we are yearning to ignore  
I like her clothes I love her dress  
I'd like her better if she loved me best  
I like his shoes I love his pants  
I'd want him better if he wanted to dance  
Uh-huh uh-huh  
But then our love starts turning  
For what we are learning to adore  
I'm meeting people nice people too  
I'm meeting people nice people like you  
We're meeting people nice people too  
We're meeting people nice people like you

"
Kylie Minogue,Red Blooded Woman,/k/kylie+minogue/red+blooded+woman_10160556.html,"Count backwards 5 4 3 2 1  
Before you get too heated and turned on  
(This guy)  
You should have learned your lesson all them times before  
You've been bruised,you've been broken  
Then there's my mind saying think before you go  
Through that door,it could lead you nowhere  
(This guy)  
Has got you all romantic,crazy in your head  
Do you think I'd listen,no I don't care  
  
[Bridge:]  
'cause I can't focus ,I can't stop  
You got me spinning ,round,round,round,round  
(Like a record)  
I can't focus,it's too hot  
(Inside)  
You'll never get to Heaven if you're scared of getting high...  
  
[Chorus(x2):]  
Boy,boy let me keep freaking around  
I want to get down  
I'm a red blooded woman  
What's the point in hanging round  
Don't want to keep turning it down  
When this girl wants to rock with you  
  
My conscience saying,get down off this dream  
It's too dangerous and deadly  
(This guy)  
Has got you talking round in circles can't you see  
All for the sake of sexy  
(You're loving it)  
Then there's my sense saying stop before you fall  
I don't want to pick you up again  
(This guy)  
Has got you all romantic,crazier each day  
Do you think I'd listen,there's no way...  
  
[Bridge:]  
'cause I can't focus ,I can't stop  
You got me spinning ,round,round,round,round  
(Like a record)  
I can't focus,it's too hot  
(Inside)  
You'll never get to Heaven if you're scared of getting high...  
  
[Chorus(x2):]  
Boy,boy let me keep freaking around  
I want to get down  
I'm a red blooded woman  
What's the point in hanging round  
Don't want to keep turning it down  
When this girl wants to rock with you  
  
Let me keep freaking around  
(Freaking around,freaking around)  
Red blooded woman  
It's too hot inside  
You'll never get to Heaven if you're scared of getting high  
  
Lalalalalalalala  
Freaking around  
Lalalalalalalala  
Freaking around  
Lalalalalalalala  
Freaking around  
Lalalalalalalala  
Freaking around  
  
[Chorus(x2):]  
Boy,boy let me keep freaking around  
I want to get down  
I'm a red blooded woman  
What's the point in hanging round  
Don't want to keep turning it down  
When this girl wants to rock with you  
  
(Rock with you)

"
Ellie Goulding,I Need Your Love,/e/ellie+goulding/i+need+your+love_21048321.html,"I need your love  
I need your time  
When everything's wrong  
You make it right  
I feel so high  
I come alive  
I need to be free with you tonight  
I need your love  
  
[Beat break]  
  
I need your love  
  
I take a deep breath everytime I pass your door  
I know you're there but I can't see you anymore  
And that's the reason you're in the dark  
I've been a stranger ever since we fell apart  
And I feel so helpless here  
Watch my eyes are filled with fear  
Tell me do you feel the same  
Hold me in your arms again  
  
I need your love  
I need your time  
When everything's wrong  
You make it right  
I feel so high  
I come alive  
I need to be free with you tonight  
I need your love  
  
[Beat break]  
  
I need your love  
  
Now I'm dreaming, will ever find you now?  
I walk in circles but I'll never figure out  
What I mean to you, do I belong  
I try to fight this but I know I'm not that strong  
And I feel so helplessly  
Watch my eyes are filled with fear  
Tell me do you feel the same  
Hold me in your arms again  
  
I need your love  
I need your time  
When everything's wrong  
You make it right  
I feel so high  
I come alive  
I need to be free with you tonight  
I need your love  
  
[Beat break]  
  
I need your love  
  
All the years  
All the times  
You were never been to blame  
And now my eyes are open  
And now my heart is closing  
And all the tears  
All the lies  
All the waste  
I've been trying to make it change  
And now my eyes are open  
  
I need your love  
I need your time  
When everything's wrong  
You make it right  
I feel so high  
I come alive  
I need to be free  
  
[Beat break]

"
Rolling Stones,Around And Around,/r/rolling+stones/around+around_20118135.html,"I said the joint was rocking  
Goin' round and round  
Yeah, reeling and a rocking  
What a crazy sound  
And they never stopped rocking  
'Til the moon went down  
  
Well it sounds so sweet  
I had to take me chance  
Rose out of my seat  
I just had to dance  
Started moving my feet  
Whoa to clapping my hands  
  
I said the joint was a rocking  
Goin' round and round  
Yeah, reeling and a rocking  
What a crazy sound  
And they never stopped rocking  
'Til the moon went down  
  
Yeah at twelve o'clock  
Yeah the place was packed  
Front doors was locked  
Yeah the place was packed  
And when the police knocked  
Those doors flew back  
  
But they kept on rocking  
Goin' round and round  
Yeah, reeling and a rocking  
What a crazy sound  
And they never stopped rocking  
'Til the moon went down  
  
And they go on rocking  
Goin' round and round  
Yeah, reeling and a rocking  
What a crazy sound  
And they never stopped rocking  
'Til the moon went down  
  
Well the joint stayed a rocking  
Goin' round and round  
Yeah, reeling and a rocking  
What a crazy sound  
And they never stopped rocking  
'Til the moon went down

"
Kate Bush,Where Are The Lionhearts,/k/kate+bush/where+are+the+lionhearts_20622735.html,"Destiny took me in her arms and told me:  
""You're a little lost on the fall.  
You fall for all the men  
You shouldn't fall for all at all. ""  
Ooh, I know she knows, but still I go on,  
Well, I'm a fool.  
  
Climbing up the ladders  
To slide down the adders  
On the rocks,  
On the rocks,  
On the rocks,  
On the rocks...  
  
Joan of Arc walks into my mirror,  
A burning sword.  
I'd like to cry.  
I look into her eyes.  
I see she's seen the long days and night.  
""Ooh,"" she says,  
""The games are still the same, I see,  
But they've changed the names now.  
Are all Lionhearts put in parks, apart? ""  
  
Lionhearts in the asylums,  
Lionhearts tossed at sea,  
Lionhearts who've lived their lives, like Arthur.  
Lionhearts in cathedrals,  
Lionhearts at mournings,  
Lionhearts in every seed  
But they're sown  
On the rocks,  
On the rocks,  
On the rocks,  
On the rocks...  
  
Somebody I couldn't see  
Tied me up and put me away,  
Here on the rocks,  
Here on the rocks,  
Here on the rocks...

"
Quietdrive,Rise From The Ashes,/q/quietdrive/rise+from+the+ashes_20705324.html,"I felt this way before  
I fell right through the floor  
And I am certain I've become  
Broken, bruised, and numb  
Would you restate your opinion  
And hold back your investigation  
Do you see the sins you're making  
Cause I've made them all before  
  
I will now rise from the ashes  
Don't call me pretentious  
I'm sitting here making my own rules  
And if I fall from the ceiling  
You'll be down there waiting  
And my only hope  
Is falling down  
  
And by my own admission  
You'll find that my condition  
Is worse than you imagined  
You're better off if you know  
But every time before that I  
Tried to measure pain inside  
You can't ignore it  
Right now I can't ignore it  
  
I will now rise from the ashes  
Don't call me pretentious  
I'm sitting here making my own rules  
And if I fall from the ceiling  
You'll be down there waiting  
To finish me  
  
Inside of me (x7)  
I'll take my heart  
And rip my feelings out  
Before they make me doubt  
And I'll fall down with flames burning  
Alive again  
As long as you know that  
  
I will now rise from the ashes  
Don't call me pretentious  
I'm sitting here making my own rules  
And if I fall from the ceiling  
You'll be down there waiting  
To finish me  
Finish me

"
Lauryn Hill,The Rainbow Song,/l/lauryn+hill/the+rainbow+song_20629162.html,"RED and YELLOW and PINK and GREEN!  
PURPLE and ORANGE and BLUE!  
  
I can sing a rainbow!  
Sing a rainbow!  
Sing a rainbow too!  
  
Listen with your eyes!  
Listen with your eyes and sing everything you see!  
You can sing a rainbow, sing a rainbow, sing along with me!  
  
RED and YELLOW and PINK and GREEN!  
PURPLE and ORANGE and BLUE!  
  
I can sing rainbow!  
Sing a rainbow!  
Sing a rainbow too!  
  
(repeat song 3x)

"
Maroon 5,Shoot Love,/m/maroon+5/shoot+love_21087182.html,"You gotta let it go  
Cause we're losing grip now  
It's about to go down  
With you let me talk to you  
You gotta let me know  
Cause I'm on the edge now  
Of a nerve-breakdown  
Cause I can't get through to you  
  
I got my head just spinning  
Got my head up spinning  
Don't shoot love baby  
Don't shoot love  
Don't shoot love baby  
Don't shoot  
When you get that feeling  
When you get that feeling  
Don't shoot love baby  
Don't shoot love  
Don't shoot love baby  
Don't shoot  
  
You never let me go  
Got me chained to your touch  
Like a slave for you love  
I'm ashamed to say it's true  
Afraid to let you go  
Cause without you I'm lost  
And not matter the cost  
I'm standing next to you  
  
I got my head just spinning  
Got my head up spinning  
Don't shoot love baby  
Don't shoot love  
Don't shoot love baby  
Don't shoot  
When you get that feeling  
When you get that feeling  
Don't shoot love baby  
Don't shoot love  
Don't shoot love baby  
Don't shoot  
  
My back's against the world tonight  
So go ahead pull the trigger  
Shoot the lights out  
So go ahead pull the trigger  
Shoot the lights out  
I see the fear that's in your eyes  
So go ahead pull the trigger  
Shoot the lights out  
Go ahead pull the trigger  
Shoot  
  
I got my head just spinning  
Got my head up spinning  
Don't shoot love baby  
Don't shoot love  
Don't shoot love baby  
Don't shoot  
When you get that feeling  
When you get that feeling  
Don't shoot love baby  
Don't shoot love  
Don't shoot love baby  
Don't shoot

"
The Jam,So Sad About Us,/j/jam/so+sad+about+us_20068863.html,"So sad about us  
So sad about us  
Sad - never meant to break up  
Sad - suppose we'll never make up  
Sad about us  
So bad about us  
So bad about us  
Bad - let the music stop now  
Bad - suppose we can't turn back now  
Bad about us  
Apologies mean nothing when the damage is done  
But you can't switch off my loving  
Like you can't switch off the sun  
So sad about us  
So bad about us  
Sad - never meant to break up  
Sad - suppose we'll never make up  
Sad about us  
  
  

"
Lynyrd Skynyrd,Crawl,/l/lynyrd+skynyrd/crawl_20177299.html,"Your love does something to me that I can't describe  
Dark eyes see right through me and I just can't hide  
You drive me crazy with what you don't say and the way you hold back love  
Tell me tell me won't you please please tell me  
Need an answer from above  
There you are, You're my desire, and here I am  
I'd be a liar if I said  
  
[Chorus]  
I ain't gonna crawl  
You ain't gonna nail my heart to the wall  
You ain't gonna find me crying like a child just asking for it all  
I ain't gonna beg, I'd rather lose it all instead  
If that is what it takes to get you Part of me just might let you  
For someone like you, I'd do more than fall  
I just might crawl  
  
Seems like I get this feelin' this time of night  
Head down senses reeling, something just ain't right  
Imagination locked up inside and it's got nowhere to go  
I see my lover through anothers eyes  
And it's killing me to know the truth  
Like playing with fire To lose you  
I'd be a liar if I said  
  
[Chorus: x2]

"
James Taylor,Fading Away,/j/james+taylor/fading+away_20069337.html,"When I've got something to say,  
Well, don't I always let you know?  
So that you and I can go my way together.  
And if I get carried away,  
Well, I could be sailing on a song  
And maybe we could carry on forever.  
But lately this old dog has been chasing his tail  
Round and round and round.  
And the circles in my mind,  
They have been winding slowly down.  
Everybody's breezing up but I'm seizing up,  
I'm freezing up and I'm fading away.  
I've got a hold on a night in June,  
I've got room for you and me.  
I've got moonlight up in the trees,  
I've got sixty-eight degrees.  
I've got nothing on my mind  
But I've got loving in my heart,  
And I've got something out in the garden  
I want to show you.  
Well, it really doesn't matter after all  
If we quit this round about  
And no one will really notice  
If we can just sit this next one out.  
  
You can strike up the band without me,  
You may have your doubts about me,  
But I'm just fading away.  
You can hardly even see me  
Because I'm fading away.  
Well, it's hard to find a label  
For this feeling in my bones.  
That this is all a make-believe  
But my cards are on the table  
And there ain't nothing up my sleeve.  
  
And here I thought I was a thinking man  
But I'm a shrinking man, I'm sinking man,  
I'm fading, fading away.  
Well, it's really not so bad  
To be fading away.  
Come on along with me  
And we'll go fading away.  
You can hardly even hear me  
Because I'm fading away.

"
Morrissey,The Last Of The Famous International Playboys,/m/morrissey/the+last+of+the+famous+international+playboys_20096017.html,"Dear hero imprisoned  
With all the new crimes that you are perfecting  
Oh, I can't help quoting you  
Because everything that you said rings true  
And now in my cell  
(well, I followed you)  
And here's a list of who I slew  
  
Reggie Kray - do you know my name?  
Oh, don't say you don't  
Please say you do, (oh) I am :  
  
The last of the famous  
International playboys  
The last of the famous  
International playboys  
  
And in my cell  
(well, I loved you)  
And every man with a job to do  
Ronnie Kray - do you know my face?  
Oh, don't say you don't  
Please say you do, (oh) I am :  
  
The last of the famous  
International playboys  
The last of the famous  
International playboys  
  
In our lifetime those who kill  
The news world hands them stardom  
And these are the ways  
On which I was raised  
These are the ways  
On which I was raised  
  
I never wanted to kill  
I am not naturally evil  
Such things I do  
Just to make myself  
More attractive to you  
Have I failed?  
  
Oh...  
  
Oh, the last of the famous  
International playboys  
The last of the famous

"
Fleetwood Mac,Goodbye Baby,/f/fleetwood+mac/goodbye+baby_20054365.html,"Don't take me to the tower  
And take my child away  
It was I who was  
The hourglass  
And the sands of time like  
Shattering glass went past me  
Like a tunnel to the sea  
  
And I who went to sleep as two  
Woke up as one now only you remain  
You'll close your eyes and travel back  
To the time when the light went fading fast  
And the words you'll never, never forget, oh no  
As you slipped away  
  
Goodbye baby  
I hope your heart's not broken  
Don't forget me  
Yes I was outspoken  
You were with me all the time  
I'll be with you one day  
  
And I who went to sleep in tears  
Woke up in tears, for all of the years  
And I who never, never said goodbye  
As I slipped away  
  
Goodbye baby  
I hope your heart's not broken  
Don't forget me  
Yes I was outspoken  
You were with me all the time  
I'll be with you one day  
  
Goodbye baby  
I hope your heart's not broken  
Don't forget me  
Yes I was outspoken  
You were with me all the time  
I'll be with you one day  
  
Yes, I'll be with you one day

"
Luther Vandross,The Rush,/l/luther+vandross/the+rush_20489446.html,"What happened  
It seems like every time love comes  
You're never ready  
That's why they call it?  
The Rush  
  
Tell me, are you there?  
Could it be that you're the answer to my prayer  
See, I've prayed for peace and love  
Like so many of us do  
Then I prayed to find someone like you  
Up in the morning  
Fell out of my bed  
Worn out, I couldn't sleep  
Thoughts of you filled my head  
How could it be?  
This is scaring me  
  
Seems every time I try  
To rest my heart is when  
The rush is back again  
Maybe this time I'll  
Make it work somehow  
Guess I'm gonna find out now  
  
I get a rush  
And it's love for sure  
What else can it be  
Something beckons me  
And I go back for more  
Ooo such a rush  
Can't pass love by  
What else can I do  
Something tells me to  
Give it one more try  
  
I'm not gonna die if love passes me by  
It goes and comes around, I know  
So maybe the next time I'll be one of the few  
Chosen by love to do just what I wanna do  
I will carry on wading through every day till love needs me  
Waiting for the rush to come and find me  
I still remember when love was an angel send  
It will be back again  
  
I can't remember when, I can't remember how  
It's very different now  
It's not a fantasy, it's very real to me  
True to the touch  
I get a rush  

"
Reba Mcentire,Nickel Dreams,/r/reba+mcentire/nickel+dreams_20114350.html,"A little girl's dream world with ribbons and long curls  
Reflections of yesterday's past  
Now headlines and foot lights  
The hours of long nights keep everything  
Moving so fast  
  
It's taken a long time  
And she's walked a thin line  
The fame and fortune arrived  
  
She kept on striving  
Way of surviving  
Till part of those dreams came alive  
  
[Chorus]  
And she wishes she looks like  
They tell her she looks like all the time  
What she'd give just to feel like  
She tells them she's feeling  
Just fine  
All that money she makes every night  
Ain't as much as it seems  
A dollar a wrinkle and less then a nickel a dream  
  
Her heart may be breaking  
But she keeps on taking  
What she thought she wanted way back when  
It's too late to change her  
There's always a stranger  
To tell her she's someone again  
  
[Chorus]  
  
Nickel a dream  
Nickel dreams

"
Status Quo,Like A Zombie,/s/status+quo/like+a+zombie_20129933.html,"Couldn't see my funny side  
As far as I recall and it didn't mean much to me  
Carried on messing round and getting lower every day  
And then a little while later  
Looking for a way to get ahead of all the ups and downs  
On the road, back at home, it didn't matter much to me  
Running round every corner, walk around every street  
Running round like a madman, run yourself off your feet  
Walk about like a zombie, run about like a freak  
Running round like a maniac, flipping out every week  
Well, I just gotta get away as far as I can go  
And as long as I don't see you there  
Turn around, look again, what is it happening to me?  
Well am I getting paranoid  
Or maybe superstition is making me feel this way  
Checking in, checking out, I seem to do it every day  
Running round every corner, walk around every street  
Running round like a madman, run yourself off your feet  
Walk about like a zombie, run about like a freak  
Running round like a maniac, flipping out every week  
Now I've been working on the road as long as I recall  
And it's feeling like yesterday  
Giggling, traveling and getting better every day  
But I was getting paranoid  
Or maybe superstition is making me feel this way  
Checking in, checking out, I seem to do it every day  
Running round every corner, walk around every street  
Running round like a madman, run yourself off your feet  
Walk about like a zombie, run about like a freak  
Running round like a maniac, flipping out every week  
Running round every corner, walk around every street  
Running round like a madman, run yourself off your feet  
Walk about like a zombie, run about like a freak  
Running round like a maniac, flipping out every week  

"
Cher,Just This One Time,/c/cher/just+this+one+time_20515118.html,"JUST THIS ONE TIME  
WRITER JIMMY WEBB  
  
I've got to try just one more time  
To help you believe in me  
Oh, look into my eyes, check my face  
For lies and you might see  
My life's never been everything  
I want it to be, but with you  
I could change this bad luck  
With you I could hold my head up  
And loving you  
  
Just this one time  
I need someone to believe in me  
Breathe it with me  
Get beneath it with me, now  
Sweet darlin', just this one time  
  
I've got to say the perfect thing  
Oh, I can't make mistakes now  
Oh, I've got to read your signs  
I've gotta sing those magic lines  
You've got to hear  
  
I know I've given you every reason  
In this whole round world to fear me now  
But my love's a raging river  
And you've wrapped it in your hand  
Oh darlin'  
  
Just this one time I need someone  
To believe in me, believe in me  
Just this one time I need someone  
To leave it with me, breathe it with me  
Get beneath it with me now sweet daddy  
Just this one time  
  
Just this one time  
I really need somebody  
(repeat)

"
